,batch,Sample Name,M2PFOA,age
0,1,BB02375-M331_01,1295953,1
1,1,BB02375-M331_02,1268649,2
2,1,BB02376-M332_01,1247547,3
3,1,BB02376-M332_02,1209179,4
4,1,BB02377-M317_01,806574,5
5,1,BB02377-M317_02,810493,6
6,1,BB02378-M524_01,1076434,7
7,1,BB02378-M524_02,1075633,8
8,1,BB02379-M102_01,899816,9
9,1,BB02379-M102_02,907816,10
10,1,BB02380-M341_01,1063411,1
11,1,BB02380-M341_02,1080925,2
12,1,BB02381-M330_01,1389536,3
13,1,BB02381-M330_02,961254,4
14,1,BB02382-M345_01,1444170,5
15,1,BB02382-M345_02,1462085,6
16,1,BB02383-M340_01,1397386,7
17,1,BB02383-M340_02,1060216,8
18,1,BB02384-M507_01,1048995,9
19,1,BB02384-M507_02,1050184,10
20,1,BB02549-C331_01,1190081,1
21,1,BB02549-C331_02,1199740,2
22,1,BB02550-C322_01,1040167,3
23,1,BB02550-C322_02,1034001,4
24,1,BB02551-C317_01,1351076,5
25,1,BB02551-C317_02,1352853,6
26,1,BB02552-C524_01,1302427,7
27,1,BB02552-C524_02,1278977,8
28,1,BB02553-C102_01,1400703,9
29,1,BB02553-C102_02,1427187,10
30,1,BB02554-C341_01,1623204,1
31,1,BB02554-C341_02,1596841,2
32,1,BB02555-C330_01,1416644,3
33,1,BB02555-C330_02,1435502,4
34,1,BB02556-C345_01,1643892,5
35,1,BB02556-C345_02,1613257,6
36,1,BB02557-C340_01,1260564,7
37,1,BB02557-C340_02,1287293,8
38,1,BB02558-C507_01,1480393,9
39,1,BB02558-C507_02,1527034,10
40,2,BB02385-M400_01,443278,1
41,2,BB02385-M400_02,452663,2
42,2,BB02386-M359_01,430425,3
43,2,BB02386-M359_02,447808,4
44,2,BB02387-M103_01,834527,5
45,2,BB02387-M103_02,855239,6
46,2,BB02388-M107_01,260388,7
47,2,BB02388-M107_02,256794,8
48,2,BB02389-M523_01,855860,9
49,2,BB02389-M523_02,809133,10
50,2,BB02390-M396_01,670696,1
51,2,BB02390-M396_02,672202,2
52,2,BB02391-M526_01,638839,3
53,2,BB02391-M526_02,784981,4
54,2,BB02392-M349_01,887339,5
55,2,BB02392-M349_02,901906,6
56,2,BB02393-M105_01,1086217,7
57,2,BB02393-M105_02,1101811,8
58,2,BB02394-M509_01,148128,9
59,2,BB02394-M509_02,373340,10
60,2,BB02559-C400_01,347903,1
61,2,BB02559-C400_02,351693,2
62,2,BB02560-C359_01,870027,3
63,2,BB02560-C359_02,865786,4
64,2,BB02561-C103_01,1049696,5
65,2,BB02561-C103_02,1044910,6
66,2,BB02562-C107_01,470254,7
67,2,BB02562-C107_02,479021,8
